,Cr,Ni,Mo,Mn,Si,Nb,Ti,Zr,Ta,V,W,Cu,N,C,B,P,S,Co,Al,Sn,Pb,Solution_treatment_temperature,Solution_treatment_time(s),Water_Quenched_after_s.t.,Air_Quenched_after_s.t.,Grains mm-2,Type of melting,Size of ingot,Product form,Temperature (K),0.2%proof_stress (M Pa),UTS (M Pa),Elongation (%),Area_reduction (%),Comments
0,18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403,Na,Yes,No,477.7128917,BEA,3,Tube,298,280.0,610.0,67,83,NRIM/CDS/No4B/1986 ABA
1,18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403,Na,Yes,No,477.7128917,BEA,3,Tube,373,243.0,508.0,54,83,NRIM/CDS/No4B/1986 ABA
2,18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403,Na,Yes,No,477.7128917,BEA,3,Tube,473,220.0,472.0,44,81,NRIM/CDS/No4B/1986 ABA
3,18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403,Na,Yes,No,477.7128917,BEA,3,Tube,573,204.0,470.0,43,76,NRIM/CDS/No4B/1986 ABA
4,18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403,Na,Yes,No,477.7128917,BEA,3,Tube,673,197.0,470.0,45,76,NRIM/CDS/No4B/1986 ABA
5,18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403,Na,Yes,No,477.7128917,BEA,3,Tube,773,197.0,443.0,40,73,NRIM/CDS/No4B/1986 ABA
6,18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403,Na,Yes,No,477.7128917,BEA,3,Tube,823,172.0,425.0,44,75,NRIM/CDS/No4B/1986 ABA
7,18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403,Na,Yes,No,477.7128917,BEA,3,Tube,873,162.0,391.0,43,73,NRIM/CDS/No4B/1986 ABA
8,18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403,Na,Yes,No,477.7128917,BEA,3,Tube,923,167.0,314.0,47,63,NRIM/CDS/No4B/1986 ABA
9,18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403,Na,Yes,No,477.7128917,BEA,3,Tube,973,150.0,256.0,52,65,NRIM/CDS/No4B/1986 ABA
10,18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403,Na,Yes,No,477.7128917,BEA,3,Tube,1023,148.0,223.0,60,67,NRIM/CDS/No4B/1986 ABA
11,18.34,10.15,0.36,1.52,0.41,0.005,0.064,0,0,0.0,0.0,0.19,0.029,0.054,0.001,0.031,0.02,0.0,0.01,0,0,1403,Na,Yes,No,315.1729698,BEA,3,Tube,298,265.0,610.0,69,82,NRIM/CDS/No4B/1986 ABB
12,18.34,10.15,0.36,1.52,0.41,0.005,0.064,0,0,0.0,0.0,0.19,0.029,0.054,0.001,0.031,0.02,0.0,0.01,0,0,1403,Na,Yes,No,315.1729698,BEA,3,Tube,373,235.0,496.0,57,82,NRIM/CDS/No4B/1986 ABB
13,18.34,10.15,0.36,1.52,0.41,0.005,0.064,0,0,0.0,0.0,0.19,0.029,0.054,0.001,0.031,0.02,0.0,0.01,0,0,1403,Na,Yes,No,315.1729698,BEA,3,Tube,473,208.0,453.0,43,78,NRIM/CDS/No4B/1986 ABB
14,18.34,10.15,0.36,1.52,0.41,0.005,0.064,0,0,0.0,0.0,0.19,0.029,0.054,0.001,0.031,0.02,0.0,0.01,0,0,1403,Na,Yes,No,315.1729698,BEA,3,Tube,573,183.0,453.0,44,72,NRIM/CDS/No4B/1986 ABB
15,18.34,10.15,0.36,1.52,0.41,0.005,0.064,0,0,0.0,0.0,0.19,0.029,0.054,0.001,0.031,0.02,0.0,0.01,0,0,1403,Na,Yes,No,315.1729698,BEA,3,Tube,673,193.0,454.0,45,73,NRIM/CDS/No4B/1986 ABB
16,18.34,10.15,0.36,1.52,0.41,0.005,0.064,0,0,0.0,0.0,0.19,0.029,0.054,0.001,0.031,0.02,0.0,0.01,0,0,1403,Na,Yes,No,315.1729698,BEA,3,Tube,773,169.0,426.0,42,72,NRIM/CDS/No4B/1986 ABB
17,18.34,10.15,0.36,1.52,0.41,0.005,0.064,0,0,0.0,0.0,0.19,0.029,0.054,0.001,0.031,0.02,0.0,0.01,0,0,1403,Na,Yes,No,315.1729698,BEA,3,Tube,823,172.0,408.0,39,70,NRIM/CDS/No4B/1986 ABB
18,18.34,10.15,0.36,1.52,0.41,0.005,0.064,0,0,0.0,0.0,0.19,0.029,0.054,0.001,0.031,0.02,0.0,0.01,0,0,1403,Na,Yes,No,315.1729698,BEA,3,Tube,873,148.0,374.0,43,73,NRIM/CDS/No4B/1986 ABB
19,18.34,10.15,0.36,1.52,0.41,0.005,0.064,0,0,0.0,0.0,0.19,0.029,0.054,0.001,0.031,0.02,0.0,0.01,0,0,1403,Na,Yes,No,315.1729698,BEA,3,Tube,923,155.0,322.0,47,63,NRIM/CDS/No4B/1986 ABB
20,18.34,10.15,0.36,1.52,0.41,0.005,0.064,0,0,0.0,0.0,0.19,0.029,0.054,0.001,0.031,0.02,0.0,0.01,0,0,1403,Na,Yes,No,315.1729698,BEA,3,Tube,973,138.0,259.0,61,60,NRIM/CDS/No4B/1986 ABB
21,18.34,10.15,0.36,1.52,0.41,0.005,0.064,0,0,0.0,0.0,0.19,0.029,0.054,0.001,0.031,0.02,0.0,0.01,0,0,1403,Na,Yes,No,315.1729698,BEA,3,Tube,1023,125.0,212.0,77,68,NRIM/CDS/No4B/1986 ABB
22,18.5,10.1,0.36,1.52,0.4,0.005,0.054,0,0,0.0,0.0,0.16,0.03,0.056,0.0011,0.03,0.016,0.0,0.012,0,0,1403,Na,Yes,No,274.3740064,BEA,3,Tube,298,245.0,590.0,69,82,NRIM/CDS/No4B/1986 ABC
23,18.5,10.1,0.36,1.52,0.4,0.005,0.054,0,0,0.0,0.0,0.16,0.03,0.056,0.0011,0.03,0.016,0.0,0.012,0,0,1403,Na,Yes,No,274.3740064,BEA,3,Tube,373,228.0,493.0,58,80,NRIM/CDS/No4B/1986 ABC
24,18.5,10.1,0.36,1.52,0.4,0.005,0.054,0,0,0.0,0.0,0.16,0.03,0.056,0.0011,0.03,0.016,0.0,0.012,0,0,1403,Na,Yes,No,274.3740064,BEA,3,Tube,473,202.0,452.0,45,76,NRIM/CDS/No4B/1986 ABC
25,18.5,10.1,0.36,1.52,0.4,0.005,0.054,0,0,0.0,0.0,0.16,0.03,0.056,0.0011,0.03,0.016,0.0,0.012,0,0,1403,Na,Yes,No,274.3740064,BEA,3,Tube,573,198.0,462.0,44,75,NRIM/CDS/No4B/1986 ABC
26,18.5,10.1,0.36,1.52,0.4,0.005,0.054,0,0,0.0,0.0,0.16,0.03,0.056,0.0011,0.03,0.016,0.0,0.012,0,0,1403,Na,Yes,No,274.3740064,BEA,3,Tube,673,187.0,455.0,44,71,NRIM/CDS/No4B/1986 ABC
27,18.5,10.1,0.36,1.52,0.4,0.005,0.054,0,0,0.0,0.0,0.16,0.03,0.056,0.0011,0.03,0.016,0.0,0.012,0,0,1403,Na,Yes,No,274.3740064,BEA,3,Tube,773,160.0,425.0,41,71,NRIM/CDS/No4B/1986 ABC
28,18.5,10.1,0.36,1.52,0.4,0.005,0.054,0,0,0.0,0.0,0.16,0.03,0.056,0.0011,0.03,0.016,0.0,0.012,0,0,1403,Na,Yes,No,274.3740064,BEA,3,Tube,823,166.0,409.0,40,73,NRIM/CDS/No4B/1986 ABC
29,18.5,10.1,0.36,1.52,0.4,0.005,0.054,0,0,0.0,0.0,0.16,0.03,0.056,0.0011,0.03,0.016,0.0,0.012,0,0,1403,Na,Yes,No,274.3740064,BEA,3,Tube,873,159.0,375.0,43,70,NRIM/CDS/No4B/1986 ABC
30,18.5,10.1,0.36,1.52,0.4,0.005,0.054,0,0,0.0,0.0,0.16,0.03,0.056,0.0011,0.03,0.016,0.0,0.012,0,0,1403,Na,Yes,No,274.3740064,BEA,3,Tube,923,152.0,324.0,47,64,NRIM/CDS/No4B/1986 ABC
31,18.5,10.1,0.36,1.52,0.4,0.005,0.054,0,0,0.0,0.0,0.16,0.03,0.056,0.0011,0.03,0.016,0.0,0.012,0,0,1403,Na,Yes,No,274.3740064,BEA,3,Tube,973,137.0,266.0,53,66,NRIM/CDS/No4B/1986 ABC
32,18.5,10.1,0.36,1.52,0.4,0.005,0.054,0,0,0.0,0.0,0.16,0.03,0.056,0.0011,0.03,0.016,0.0,0.012,0,0,1403,Na,Yes,No,274.3740064,BEA,3,Tube,1023,111.0,201.0,61,64,NRIM/CDS/No4B/1986 ABC
33,18.7,9.68,0.06,1.49,0.52,0.005,0.006,0,0,0.0,0.0,0.06,0.027,0.07,0.0013,0.023,0.006,0.0,0.01,0,0,Na,Na,Na,Na,207.9366135,BEA,3,Tube,298,265.0,610.0,73,82,NRIM/CDS/No4B/1986 ABD
34,18.7,9.68,0.06,1.49,0.52,0.005,0.006,0,0,0.0,0.0,0.06,0.027,0.07,0.0013,0.023,0.006,0.0,0.01,0,0,Na,Na,Na,Na,207.9366135,BEA,3,Tube,373,208.0,484.0,62,82,NRIM/CDS/No4B/1986 ABD
35,18.7,9.68,0.06,1.49,0.52,0.005,0.006,0,0,0.0,0.0,0.06,0.027,0.07,0.0013,0.023,0.006,0.0,0.01,0,0,Na,Na,Na,Na,207.9366135,BEA,3,Tube,473,196.0,452.0,47,80,NRIM/CDS/No4B/1986 ABD
36,18.7,9.68,0.06,1.49,0.52,0.005,0.006,0,0,0.0,0.0,0.06,0.027,0.07,0.0013,0.023,0.006,0.0,0.01,0,0,Na,Na,Na,Na,207.9366135,BEA,3,Tube,573,176.0,453.0,46,74,NRIM/CDS/No4B/1986 ABD
37,18.7,9.68,0.06,1.49,0.52,0.005,0.006,0,0,0.0,0.0,0.06,0.027,0.07,0.0013,0.023,0.006,0.0,0.01,0,0,Na,Na,Na,Na,207.9366135,BEA,3,Tube,673,166.0,448.0,47,73,NRIM/CDS/No4B/1986 ABD
38,18.7,9.68,0.06,1.49,0.52,0.005,0.006,0,0,0.0,0.0,0.06,0.027,0.07,0.0013,0.023,0.006,0.0,0.01,0,0,Na,Na,Na,Na,207.9366135,BEA,3,Tube,773,151.0,421.0,43,71,NRIM/CDS/No4B/1986 ABD
39,18.7,9.68,0.06,1.49,0.52,0.005,0.006,0,0,0.0,0.0,0.06,0.027,0.07,0.0013,0.023,0.006,0.0,0.01,0,0,Na,Na,Na,Na,207.9366135,BEA,3,Tube,823,158.0,401.0,43,74,NRIM/CDS/No4B/1986 ABD
40,18.7,9.68,0.06,1.49,0.52,0.005,0.006,0,0,0.0,0.0,0.06,0.027,0.07,0.0013,0.023,0.006,0.0,0.01,0,0,Na,Na,Na,Na,207.9366135,BEA,3,Tube,873,145.0,372.0,43,75,NRIM/CDS/No4B/1986 ABD
41,18.7,9.68,0.06,1.49,0.52,0.005,0.006,0,0,0.0,0.0,0.06,0.027,0.07,0.0013,0.023,0.006,0.0,0.01,0,0,Na,Na,Na,Na,207.9366135,BEA,3,Tube,923,135.0,317.0,47,75,NRIM/CDS/No4B/1986 ABD
